,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
9619,0.872174,5,0.787234,0.033866,0.576168,0.001703,0.465044,0.757018,0
10027,0.009203,1,0.680851,0.103339,0.614103,0.003467,0.422915,0.414912,1
19846,0.004867,1,0.382979,0.089798,0.642368,0.003467,0.422915,0.414912,1
20521,0.9158,7,1.0,0.050679,0.288753,0.003542,0.355256,0.23114,0
29178,0.460865,3,0.234043,0.031794,0.266587,0.002158,0.24029,0.437281,0
33903,0.907969,4,0.170213,0.053531,0.220321,0.003513,0.316157,0.667544,0
31792,0.430069,4,0.978723,0.06644,0.417882,0.003467,0.422915,0.414912,0
5360,0.022654,6,0.93617,0.081152,0.286671,0.003467,0.422915,0.414912,0
21596,0.468873,3,0.340426,0.029152,0.523207,0.001961,0.208959,0.629386,0
8192,0.898456,5,0.382979,0.126306,0.657542,0.008546,0.670637,0.410088,1
1964,0.876598,5,0.085106,0.028131,0.171824,0.000837,0.291818,0.708772,0
7837,0.876643,6,0.829787,0.028612,0.488248,0.001909,0.483169,0.479825,0
15360,0.009867,2,0.382979,0.082863,0.669444,0.003467,0.422915,0.414912,1
8757,0.868059,2,0.787234,0.030083,0.32535,0.00085,0.208959,0.792544,1
20134,0.877041,1,0.574468,0.030143,0.336656,0.001986,0.1942,0.560526,0
12771,0.018097,1,0.553191,0.089678,0.490181,0.003467,0.422915,0.414912,1
2084,0.911641,4,0.12766,0.034016,0.156352,0.002198,0.255567,0.748684,0
32164,0.424804,3,0.829787,0.056923,0.306456,0.003467,0.422915,0.414912,0
27081,0.903234,2,0.319149,0.070283,0.478578,0.004886,0.489125,0.435965,1
8037,0.451086,4,0.255319,0.03969,0.415353,0.002617,0.408079,0.634211,0
13070,0.894474,5,0.702128,0.067491,0.64817,0.004555,0.619109,0.472807,1
25534,0.429008,1,0.680851,0.09181,0.500298,0.003467,0.422915,0.414912,1
33261,0.468962,5,0.021277,0.027801,0.320292,0.001861,0.287416,0.535526,0
36232,0.880404,1,0.553191,0.035427,0.352425,0.002202,0.240031,0.756579,1
3101,0.008628,2,0.744681,0.074817,0.767182,0.003467,0.422915,0.414912,1
184,0.009469,7,0.744681,0.063949,0.673758,0.003467,0.422915,0.414912,1
33535,0.894783,5,0.957447,0.069683,0.692056,0.00295,0.491455,0.527632,0
22816,0.443387,4,0.680851,0.044073,0.489586,0.00296,0.501295,0.534211,0
28235,0.014336,6,0.276596,0.071785,0.258852,0.003467,0.422915,0.414912,0
28927,0.452148,7,0.212766,0.033025,0.17956,0.001978,0.180735,0.637281,0
8238,0.867528,4,0.425532,0.037078,0.60964,0.002432,0.732263,0.401754,1
21509,0.465422,1,0.510638,0.027591,0.326688,0.001624,0.272657,0.721491,1
997,0.876643,6,0.212766,0.027501,0.313597,0.001523,0.355515,0.667105,0
4418,0.872572,7,0.06383,0.033806,0.205296,0.000889,0.316416,0.725439,1
5919,0.899075,5,0.680851,0.085025,0.546415,0.005517,0.542983,0.644737,1
6297,0.872041,2,0.978723,0.035367,0.405832,0.000839,0.351631,0.754386,1
20496,0.027477,4,0.808511,0.053861,0.445254,0.003467,0.422915,0.414912,0
21409,0.45998,4,0.914894,0.028221,0.416691,0.002042,0.365096,0.417544,0
3707,0.452192,1,0.191489,0.028552,0.129723,0.001944,0.13361,0.65614,0
15403,0.915712,5,0.0,0.075087,0.39274,0.005164,0.403418,0.376316,1
16787,0.890049,3,0.93617,0.031644,0.671229,0.002164,0.506732,0.566228,0
13249,0.438963,1,0.702128,0.054612,0.465189,0.003467,0.422915,0.414912,1
18071,0.013937,4,0.765957,0.121352,0.80601,0.003467,0.422915,0.414912,1
2345,0.018274,5,0.382979,0.049988,0.541952,0.003467,0.422915,0.414912,1
8461,0.447414,5,0.148936,0.013841,0.282208,0.000883,0.295961,0.603947,0
2749,0.898456,5,0.276596,0.084364,0.523505,0.0056,0.494045,0.533772,1
31990,0.452281,3,0.723404,0.036027,0.699048,0.002372,0.611859,0.564474,1
26178,0.474315,7,0.829787,0.027441,0.26986,0.00183,0.167012,0.797807,1
22718,0.438919,7,0.510638,0.048187,0.296935,0.003467,0.422915,0.414912,0
7823,0.912261,4,0.893617,0.066831,0.419816,0.004487,0.370016,0.460526,0
14486,0.903411,6,0.404255,0.088057,0.617673,0.005723,0.570689,0.510526,1
2792,0.000885,1,0.170213,0.087366,0.143856,0.003467,0.422915,0.414912,0
34676,0.866953,5,0.106383,0.033475,0.091491,0.002277,0.124806,0.590351,0
29910,0.898456,5,0.106383,0.044194,0.328474,0.002894,0.40057,0.605263,0
27555,0.031857,5,0.765957,0.056923,0.237727,0.003467,0.422915,0.414912,1
26091,0.031105,2,0.978723,0.074757,0.405237,0.003467,0.422915,0.414912,0
26414,0.03168,1,0.553191,0.059926,0.473371,0.003467,0.422915,0.414912,0
34331,0.474183,4,0.212766,0.027231,0.224338,0.001793,0.189021,0.894737,0
35436,0.890138,5,0.87234,0.079711,0.786373,0.005463,0.631279,0.474561,1
18351,0.429671,2,0.468085,0.117089,0.652038,0.003467,0.422915,0.414912,1
5352,0.889916,7,0.531915,0.316981,0.517852,0.011959,0.461419,0.665351,1
21762,0.889253,4,0.893617,0.027111,0.449717,0.001822,0.444847,0.546491,0
25695,0.023052,1,0.680851,0.103158,0.463701,0.003467,0.422915,0.414912,1
21447,0.911774,7,0.12766,0.042182,0.127938,0.002759,0.258933,0.67193,0
16421,0.907128,6,0.468085,0.096343,0.504314,0.006529,0.652771,0.390789,1
20801,0.030972,6,0.553191,0.077819,0.353169,0.003467,0.422915,0.414912,0
20088,0.018716,1,0.787234,0.048487,0.57468,0.003467,0.422915,0.414912,1
6794,0.468873,3,0.574468,0.028912,0.464296,0.001926,0.171155,0.706579,0
9131,0.425424,3,0.319149,0.094542,0.498661,0.003467,0.422915,0.414912,0
32690,0.434494,4,0.0,0.043383,0.37474,0.003467,0.422915,0.414912,0
30935,0.88558,6,0.617021,0.029152,0.468611,0.002096,0.631279,0.099561,0
16443,0.446662,2,0.12766,0.019605,0.205742,0.001267,0.280166,0.544298,0
28875,0.911287,3,0.787234,0.043023,0.455817,0.002742,0.269032,0.678509,0
14896,0.473696,7,0.042553,0.028221,0.231776,0.001755,0.376489,0.575439,1
20886,0.442281,6,0.680851,0.05272,0.34097,0.003467,0.422915,0.414912,0
6400,0.443122,5,0.446809,0.053411,0.530051,0.00399,0.564215,0.349123,0
30989,0.889828,5,0.893617,0.107572,0.709908,0.007268,0.587002,0.475877,1
13742,0.912261,4,0.702128,0.083043,0.506546,0.005725,0.584412,0.315351,1
28572,0.027123,3,0.191489,0.051219,0.205147,0.003467,0.422915,0.414912,0
1926,0.013097,6,0.553191,0.041582,0.363434,0.003467,0.422915,0.414912,0
11007,0.447635,3,0.234043,0.032004,0.332639,0.001194,0.278353,0.765789,0
71,0.434583,6,0.12766,0.04011,0.072895,0.003467,0.422915,0.414912,0
33246,0.876466,2,0.93617,0.02654,0.436775,0.000821,0.270844,0.664912,0
27988,8.8e-05,4,0.87234,0.041882,0.453585,0.003467,0.422915,0.414912,0
11706,0.474271,6,0.06383,0.023778,0.061886,0.001581,0.153288,0.816228,0
34121,0.890315,2,0.255319,0.030473,0.44094,0.001971,0.405489,0.694737,0
13913,0.871599,6,0.87234,0.025429,0.433502,0.001606,0.421284,0.783333,0
22025,0.438255,6,0.340426,0.060166,0.371169,0.003467,0.422915,0.414912,0
19889,0.004956,3,0.340426,0.042572,0.622583,0.003467,0.422915,0.414912,0
20989,0.008893,1,0.234043,0.041732,0.260042,0.003467,0.422915,0.414912,0
34502,0.907172,7,0.702128,0.074697,0.364029,0.004836,0.339979,0.671053,0
32249,0.447679,4,0.297872,0.044914,0.618566,0.00296,0.55101,0.460965,0
21472,0.473342,6,0.617021,0.044644,0.556828,0.003116,0.505955,0.026316,0
24528,0.013716,6,0.659574,0.045755,0.308093,0.003467,0.422915,0.414912,0
711,0.47436,1,0.617021,0.024919,0.227016,0.001622,0.165458,0.880702,0
7112,0.447901,2,0.446809,0.044374,0.681047,0.003051,0.590109,0.416228,1
33590,0.893545,5,0.255319,0.096223,0.482594,0.00618,0.434231,0.714035,0
1145,0.894031,2,0.106383,0.051789,0.276555,0.003319,0.412222,0.775439,0
27964,0.013937,4,0.12766,0.057043,0.312258,0.003467,0.422915,0.414912,0
14179,0.894828,6,0.361702,0.088777,0.787712,0.005908,0.745987,0.402632,0
10672,0.018318,6,0.276596,0.046385,0.218685,0.003467,0.422915,0.414912,0
14824,0.026901,5,0.808511,0.101357,0.464743,0.003467,0.422915,0.414912,0
23074,0.876952,6,0.574468,0.035937,0.53972,0.002513,0.530295,0.242982,1
1568,0.43383,3,0.723404,0.047436,0.496132,0.003467,0.422915,0.414912,0
16471,0.867528,4,0.191489,0.036057,0.229545,0.001178,0.297773,0.775439,1
14083,0.899031,4,0.638298,0.096223,0.519488,0.00625,0.542983,0.482018,1
21046,0.890182,6,0.170213,0.031134,0.292324,0.001992,0.388918,0.737719,0
28487,0.027565,6,0.212766,0.071394,0.132996,0.003467,0.422915,0.414912,1
2065,0.451042,3,0.744681,0.043953,0.867004,0.002889,0.731227,0.355263,1
16815,0.447679,4,0.06383,0.040441,0.469354,0.002592,0.49767,0.645614,0
23357,0.005354,5,0.489362,0.088297,0.574383,0.003467,0.422915,0.414912,1
10953,0.885625,7,0.340426,0.03945,0.471883,0.002578,0.355256,0.674561,0
21144,0.876466,2,0.276596,0.030863,0.468164,0.001953,0.556447,0.555263,1
25568,0.868147,4,0.06383,0.028251,0.207825,0.001851,0.340756,0.673246,0
3120,0.018097,1,0.191489,0.061637,0.13136,0.003467,0.422915,0.414912,0
25771,0.876952,6,0.021277,0.032455,0.32044,0.002133,0.294407,0.545175,1
10320,0.903633,4,0.93617,0.043563,0.41208,0.00291,0.298032,0.544737,0
25499,0.898544,7,0.680851,0.089168,0.480958,0.005206,0.341533,0.858333,1
4714,0.473607,5,0.148936,0.021166,0.139839,0.001423,0.213361,0.636842,0
8516,0.45175,5,0.12766,0.038399,0.344094,0.002576,0.378042,0.732018,0
26131,0.880404,1,0.12766,0.029182,0.103541,0.00189,0.202745,0.735526,0
12304,0.018362,7,0.425532,0.073226,0.367301,0.003467,0.422915,0.414912,1
5892,0.446883,7,0.574468,0.041822,0.356293,0.0028,0.364319,0.661404,1
18032,0.880404,1,0.617021,0.035187,0.336507,0.002181,0.220611,0.756579,1
4303,0.474315,7,0.595745,0.024919,0.231627,0.001606,0.141636,0.876316,0
18673,0.898146,5,0.319149,0.083073,0.659774,0.00553,0.685396,0.438158,1
16940,0.438211,5,0.06383,0.068632,0.315977,0.003467,0.422915,0.414912,0
13787,0.894297,1,0.191489,0.021706,0.151443,0.001417,0.304764,0.664474,0
11034,0.871377,1,0.680851,0.036898,0.436477,0.002387,0.481875,0.755702,1
18509,0.482412,3,0.191489,0.02666,0.150253,0.001809,0.173226,0.534649,0
13158,0.017698,6,0.276596,0.066591,0.253347,0.003467,0.422915,0.414912,0
2183,0.461086,1,0.0,0.030083,0.314639,0.002065,0.306318,0.387719,1
3153,0.903323,4,0.340426,0.041341,0.474561,0.002825,0.52175,0.276316,0
978,0.442458,4,0.851064,0.071304,0.448378,0.004987,0.508545,0.500526,1
3545,0.022477,2,0.978723,0.083794,0.416394,0.003467,0.422915,0.414912,1
5937,0.009424,6,0.0,0.041732,0.53615,0.003467,0.422915,0.414912,0
24799,0.867439,2,0.978723,0.02648,0.404939,0.001697,0.413516,0.810526,0
24844,0.880448,2,0.957447,0.037649,0.436328,0.002505,0.330658,0.510526,0
20582,0.437989,7,0.87234,0.048337,0.326242,0.003467,0.422915,0.414912,1
5355,0.031547,5,0.93617,0.066561,0.389467,0.003467,0.422915,0.414912,1
8705,0.912172,2,0.12766,0.02612,0.124219,0.001718,0.212325,0.617105,0
6462,0.456263,3,0.87234,0.040501,0.644749,0.002678,0.529001,0.653509,1
3777,0.013053,5,0.361702,0.041582,0.593871,0.003467,0.422915,0.414912,0
